name,calories_kcal,protein_g,carbs_g,fat_g,sugar_g,fiber_g,calcium_mg,iron_mg
adhirasam,160,5,20,6,2.5,3,45,1.4
aloo_gobi,160,5,20,6,2.5,3,45,1.4
aloo_matar,160,5,20,6,2.5,3,45,1.4
aloo_methi,160,5,20,6,2.5,3,45,1.4
aloo_shimla_mirch,160,5,20,6,2.5,3,45,1.4
aloo_tikki,160,5,20,6,2.5,3,45,1.4
alu_pitika,160,5,20,6,2.5,3,45,1.4
amti,160,5,20,6,2.5,3,45,1.4
anarsa,160,5,20,6,2.5,3,45,1.4
ariselu,160,5,20,6,2.5,3,45,1.4
attu,160,5,20,6,2.5,3,45,1.4
avial,160,5,20,6,2.5,3,45,1.4
bajri_no_rotlo,160,5,20,6,2.5,3,45,1.4
balu_shahi,160,5,20,6,2.5,3,45,1.4
bandar_laddu,420,6,60,18,35,1.5,120,1.2
basundi,160,5,20,6,2.5,3,45,1.4
bebinca,160,5,20,6,2.5,3,45,1.4
beef_fry,220,22,4,14,1,0.5,40,2
bengena_pitika,160,5,20,6,2.5,3,45,1.4
bhakri,240,7,45,4,1.2,4.8,35,2.8
bhatura,160,5,20,6,2.5,3,45,1.4
bhindi_masala,160,5,20,6,2.5,3,45,1.4
bilahi_maas,220,22,4,14,1,0.5,40,2
biryani,150,4,30,3,0.8,1.8,25,1.1
bisi_bele_bath,160,5,20,6,2.5,3,45,1.4
black_rice,150,4,30,3,0.8,1.8,25,1.1
bombil_fry,160,5,20,6,2.5,3,45,1.4
boondi,160,5,20,6,2.5,3,45,1.4
bora_sawul,160,5,20,6,2.5,3,45,1.4
brown_rice,150,4,30,3,0.8,1.8,25,1.1
butter_chicken,220,22,4,14,1,0.5,40,2
chak_hao_kheer,420,6,60,18,35,1.5,120,1.2
chakali,160,5,20,6,2.5,3,45,1.4
cham_cham,160,5,20,6,2.5,3,45,1.4
chana_masala,160,5,20,6,2.5,3,45,1.4
chapati,240,7,45,4,1.2,4.8,35,2.8
cheera_doi,420,6,60,18,35,1.5,120,1.2
chevdo,160,5,20,6,2.5,3,45,1.4
chhena_jalebi,420,6,60,18,35,1.5,120,1.2
chhena_kheeri,420,6,60,18,35,1.5,120,1.2
chhena_poda,160,5,20,6,2.5,3,45,1.4
chicken_razala,220,22,4,14,1,0.5,40,2
chicken_tikka,220,22,4,14,1,0.5,40,2
chicken_tikka_masala,220,22,4,14,1,0.5,40,2
chicken_varuval,220,22,4,14,1,0.5,40,2
chikki,160,5,20,6,2.5,3,45,1.4
chingri_bhape,160,5,20,6,2.5,3,45,1.4
chingri_malai_curry,160,5,20,6,2.5,3,45,1.4
chole_bhature,160,5,20,6,2.5,3,45,1.4
chorafali,160,5,20,6,2.5,3,45,1.4
churma_ladoo,160,5,20,6,2.5,3,45,1.4
coconut_vadi,160,5,20,6,2.5,3,45,1.4
copra_paak,160,5,20,6,2.5,3,45,1.4
currivepillai_sadam_,150,4,30,3,0.8,1.8,25,1.1
daal_baati_churma,160,5,20,6,2.5,3,45,1.4
daal_dhokli,160,5,20,6,2.5,3,45,1.4
daal_puri,240,7,45,4,1.2,4.8,35,2.8
dahi_vada,160,5,20,6,2.5,3,45,1.4
dal_makhani_,160,5,20,6,2.5,3,45,1.4
dal_tadka,160,5,20,6,2.5,3,45,1.4
dalithoy,160,5,20,6,2.5,3,45,1.4
dharwad_pedha,160,5,20,6,2.5,3,45,1.4
dhokla,160,5,20,6,2.5,3,45,1.4
dhondas,160,5,20,6,2.5,3,45,1.4
doodhpak,420,6,60,18,35,1.5,120,1.2
dosa,160,5,20,6,2.5,3,45,1.4
double_ka_meetha,160,5,20,6,2.5,3,45,1.4
dudhi_halwa,420,6,60,18,35,1.5,120,1.2
dum_aloo,160,5,20,6,2.5,3,45,1.4
fara,160,5,20,6,2.5,3,45,1.4
farsi_puri,240,7,45,4,1.2,4.8,35,2.8
gajar_ka_halwa,420,6,60,18,35,1.5,120,1.2
galho,160,5,20,6,2.5,3,45,1.4
gatta_curry,160,5,20,6,2.5,3,45,1.4
gavvalu,160,5,20,6,2.5,3,45,1.4
gheela_pitha,160,5,20,6,2.5,3,45,1.4
ghevar,160,5,20,6,2.5,3,45,1.4
ghooghra,160,5,20,6,2.5,3,45,1.4
goja,160,5,20,6,2.5,3,45,1.4
gud_papdi,160,5,20,6,2.5,3,45,1.4
gulab_jamun,420,6,60,18,35,1.5,120,1.2
halvasan,160,5,20,6,2.5,3,45,1.4
hando_guri,160,5,20,6,2.5,3,45,1.4
handwo,160,5,20,6,2.5,3,45,1.4
haq_maas,220,22,4,14,1,0.5,40,2
idiappam,160,5,20,6,2.5,3,45,1.4
idli,160,5,20,6,2.5,3,45,1.4
imarti,160,5,20,6,2.5,3,45,1.4
jalebi,420,6,60,18,35,1.5,120,1.2
jeera_aloo,160,5,20,6,2.5,3,45,1.4
kaara_kozhambu,160,5,20,6,2.5,3,45,1.4
kabiraji,160,5,20,6,2.5,3,45,1.4
kachori,160,5,20,6,2.5,3,45,1.4
kadai_paneer,260,14,8,20,3,0.6,180,1.5
kadhi_pakoda,420,6,60,18,35,1.5,120,1.2
kajjikaya,160,5,20,6,2.5,3,45,1.4
kaju_katli,420,6,60,18,35,1.5,120,1.2
kakinada_khaja,160,5,20,6,2.5,3,45,1.4
kalakand,160,5,20,6,2.5,3,45,1.4
kanji,150,4,30,3,0.8,1.8,25,1.1
kansar,160,5,20,6,2.5,3,45,1.4
karela_bharta,160,5,20,6,2.5,3,45,1.4
keerai_kootu,160,5,20,6,2.5,3,45,1.4
keerai_masiyal,160,5,20,6,2.5,3,45,1.4
keerai_poriyal,160,5,20,6,2.5,3,45,1.4
keerai_sadam,150,4,30,3,0.8,1.8,25,1.1
keri_no_ras,160,5,20,6,2.5,3,45,1.4
khakhra,160,5,20,6,2.5,3,45,1.4
khaman,160,5,20,6,2.5,3,45,1.4
khandvi,160,5,20,6,2.5,3,45,1.4
khar,160,5,20,6,2.5,3,45,1.4
kheer,420,6,60,18,35,1.5,120,1.2
kheer_sagar,420,6,60,18,35,1.5,120,1.2
khichdi,150,4,30,3,0.8,1.8,25,1.1
khichu,150,4,30,3,0.8,1.8,25,1.1
khorisa,160,5,20,6,2.5,3,45,1.4
kofta,160,5,20,6,2.5,3,45,1.4
koldil_chicken,220,22,4,14,1,0.5,40,2
koldil_duck,220,22,4,14,1,0.5,40,2
kolim_jawla,160,5,20,6,2.5,3,45,1.4
kombdi_vade,160,5,20,6,2.5,3,45,1.4
konir_dom,160,5,20,6,2.5,3,45,1.4
kootu,160,5,20,6,2.5,3,45,1.4
kos_kootu,160,5,20,6,2.5,3,45,1.4
koshambri,160,5,20,6,2.5,3,45,1.4
koshimbir,160,5,20,6,2.5,3,45,1.4
kothamali_sadam,150,4,30,3,0.8,1.8,25,1.1
kulfi_falooda,160,5,20,6,2.5,3,45,1.4
kumol_sawul,160,5,20,6,2.5,3,45,1.4
kutchi_dabeli,160,5,20,6,2.5,3,45,1.4
kuzhakkattai,160,5,20,6,2.5,3,45,1.4
kuzhambu,160,5,20,6,2.5,3,45,1.4
kuzhi_paniyaram,160,5,20,6,2.5,3,45,1.4
laapsi,160,5,20,6,2.5,3,45,1.4
laddu,420,6,60,18,35,1.5,120,1.2
lassi,160,5,20,6,2.5,3,45,1.4
lauki_ke_kofte,160,5,20,6,2.5,3,45,1.4
lauki_ki_subji,160,5,20,6,2.5,3,45,1.4
ledikeni,160,5,20,6,2.5,3,45,1.4
lilva_kachori,160,5,20,6,2.5,3,45,1.4
litti_chokha,160,5,20,6,2.5,3,45,1.4
luchi,160,5,20,6,2.5,3,45,1.4
lyangcha,160,5,20,6,2.5,3,45,1.4
maach_jhol,160,5,20,6,2.5,3,45,1.4
mag_dhokli,160,5,20,6,2.5,3,45,1.4
mahim_halwa,420,6,60,18,35,1.5,120,1.2
makki_di_roti_sarson_da_saag,240,7,45,4,1.2,4.8,35,2.8
malapua,160,5,20,6,2.5,3,45,1.4
masala_dosa,160,5,20,6,2.5,3,45,1.4
masor_koni,160,5,20,6,2.5,3,45,1.4
masor_tenga,160,5,20,6,2.5,3,45,1.4
mawa_bati,160,5,20,6,2.5,3,45,1.4
methi_na_gota,160,5,20,6,2.5,3,45,1.4
mihidana,160,5,20,6,2.5,3,45,1.4
mishti_chholar_dal,160,5,20,6,2.5,3,45,1.4
misi_roti,240,7,45,4,1.2,4.8,35,2.8
misti_doi,420,6,60,18,35,1.5,120,1.2
modak,160,5,20,6,2.5,3,45,1.4
mohanthal,160,5,20,6,2.5,3,45,1.4
mushroom_do_pyaza,160,5,20,6,2.5,3,45,1.4
mushroom_matar,160,5,20,6,2.5,3,45,1.4
muthiya,160,5,20,6,2.5,3,45,1.4
mysore_pak,420,6,60,18,35,1.5,120,1.2
naan,240,7,45,4,1.2,4.8,35,2.8
namakpara,160,5,20,6,2.5,3,45,1.4
nankhatai,160,5,20,6,2.5,3,45,1.4
navrattan_korma,160,5,20,6,2.5,3,45,1.4
obbattu_holige,160,5,20,6,2.5,3,45,1.4
pachadi,160,5,20,6,2.5,3,45,1.4
pakhala,420,6,60,18,35,1.5,120,1.2
palak_paneer,260,14,8,20,3,0.6,180,1.5
palathalikalu,160,5,20,6,2.5,3,45,1.4
paneer_butter_masala,260,14,8,20,3,0.6,180,1.5
paneer_tikka_masala,260,14,8,20,3,0.6,180,1.5
pani_pitha,160,5,20,6,2.5,3,45,1.4
pani_puri,240,7,45,4,1.2,4.8,35,2.8
paniyaram,160,5,20,6,2.5,3,45,1.4
panjeeri,160,5,20,6,2.5,3,45,1.4
pantua,160,5,20,6,2.5,3,45,1.4
papad,160,5,20,6,2.5,3,45,1.4
papadum,160,5,20,6,2.5,3,45,1.4
paratha,240,7,45,4,1.2,4.8,35,2.8
paravannam,160,5,20,6,2.5,3,45,1.4
paruppu_sadam,150,4,30,3,0.8,1.8,25,1.1
patra,160,5,20,6,2.5,3,45,1.4
pattor,160,5,20,6,2.5,3,45,1.4
pav_bhaji,160,5,20,6,2.5,3,45,1.4
payasam,160,5,20,6,2.5,3,45,1.4
payokh,160,5,20,6,2.5,3,45,1.4
pesarattu,160,5,20,6,2.5,3,45,1.4
petha,160,5,20,6,2.5,3,45,1.4
phirni,160,5,20,6,2.5,3,45,1.4
pinaca,160,5,20,6,2.5,3,45,1.4
pindi_chana,160,5,20,6,2.5,3,45,1.4
pithe,160,5,20,6,2.5,3,45,1.4
poha,160,5,20,6,2.5,3,45,1.4
pongal,150,4,30,3,0.8,1.8,25,1.1
poornalu,160,5,20,6,2.5,3,45,1.4
pootharekulu,160,5,20,6,2.5,3,45,1.4
poriyal,160,5,20,6,2.5,3,45,1.4
pork_bharta,220,22,4,14,1,0.5,40,2
prawn_malai_curry,220,22,4,14,1,0.5,40,2
puli_sadam,150,4,30,3,0.8,1.8,25,1.1
puri_bhaji,240,7,45,4,1.2,4.8,35,2.8
puttu,160,5,20,6,2.5,3,45,1.4
qubani_ka_meetha,160,5,20,6,2.5,3,45,1.4
rabri,420,6,60,18,35,1.5,120,1.2
rajma_chaval,160,5,20,6,2.5,3,45,1.4
ras_malai,160,5,20,6,2.5,3,45,1.4
rasabali,160,5,20,6,2.5,3,45,1.4
rasam,160,5,20,6,2.5,3,45,1.4
rasgulla,160,5,20,6,2.5,3,45,1.4
red_rice,150,4,30,3,0.8,1.8,25,1.1
rongi,160,5,20,6,2.5,3,45,1.4
saath,160,5,20,6,2.5,3,45,1.4
sabudana_khichadi,150,4,30,3,0.8,1.8,25,1.1
sambar,160,5,20,6,2.5,3,45,1.4
samosa,160,5,20,6,2.5,3,45,1.4
sandesh,160,5,20,6,2.5,3,45,1.4
sandige,160,5,20,6,2.5,3,45,1.4
sattu_ki_roti,240,7,45,4,1.2,4.8,35,2.8
sev_khamani,160,5,20,6,2.5,3,45,1.4
sev_tameta,160,5,20,6,2.5,3,45,1.4
sevai,160,5,20,6,2.5,3,45,1.4
shahi_paneer,260,14,8,20,3,0.6,180,1.5
shahi_tukra,160,5,20,6,2.5,3,45,1.4
shankarpali,160,5,20,6,2.5,3,45,1.4
sheer_korma,160,5,20,6,2.5,3,45,1.4
sheera,160,5,20,6,2.5,3,45,1.4
shrikhand,160,5,20,6,2.5,3,45,1.4
shufta,160,5,20,6,2.5,3,45,1.4
shukto,160,5,20,6,2.5,3,45,1.4
singori,160,5,20,6,2.5,3,45,1.4
sohan_halwa,420,6,60,18,35,1.5,120,1.2
sohan_papdi,160,5,20,6,2.5,3,45,1.4
sukhd,160,5,20,6,2.5,3,45,1.4
i,160,5,20,6,2.5,3,45,1.4
surnoli,160,5,20,6,2.5,3,45,1.4
sutar_feni,160,5,20,6,2.5,3,45,1.4
tandoori_chicken,220,22,4,14,1,0.5,40,2
tandoori_fish_tikka,220,22,4,14,1,0.5,40,2
thalipeeth,160,5,20,6,2.5,3,45,1.4
thayir_sadam,150,4,30,3,0.8,1.8,25,1.1
theeyal,160,5,20,6,2.5,3,45,1.4
thepla,160,5,20,6,2.5,3,45,1.4
til_pitha,160,5,20,6,2.5,3,45,1.4
turiya_patra_vatana_sabji,160,5,20,6,2.5,3,45,1.4
undhiyu,160,5,20,6,2.5,3,45,1.4
unni_appam,160,5,20,6,2.5,3,45,1.4
upma,160,5,20,6,2.5,3,45,1.4
uttapam,160,5,20,6,2.5,3,45,1.4
vada,160,5,20,6,2.5,3,45,1.4
veg_kolhapuri,240,7,45,4,1.2,4.8,35,2.8
vegetable_jalfrezi,160,5,20,6,2.5,3,45,1.4
vindaloo,160,5,20,6,2.5,3,45,1.4
zunka,160,5,20,6,2.5,3,45,1.4
